For all members,,,,,,,,,,,,,For industry members only,,,,,,,,,,,,
Name (ZH),Name (EN MT),Common name (EN),Common name (ZH),Tier (ZH),Tier (EN),Original order within tier,Type,Website,Crunchbase URL,"Location (City, Province)",Location (City-level),Location (Provincial Level),Estimated Size,Estimated Focus,Industry Affiliations,AI Product/Service Category,Key products,State-owned?,Not Chinese,Public company,Exchange,Ticker,Notes,,Extracted 3/26/20 from http://aiiaorg.cn/index.php?m=alliance&c=index&a=structure
东莞嘉泰钟表有限公司,"Dongguan Jiatai Watch Co., Ltd.",Dongguan Jiatai Clock,嘉泰钟表,理事单位,board members,134,Industry,http://www.heromex.com/,n/a,"Dongguan, Guangdong",Dongguan,Guangdong,Small/startup,Diversified,Manufacturing,n/a,Clocks,No,No,No,,,,,
深圳蓝胖子机器人有限公司,"Shenzhen Blue Fat Robot Co., Ltd.",Dorabot,蓝胖子机器人,普通会员单位,ordinary members,341,Industry,https://www.dorabot.com/,n/a,Shenzhen,Shenzhen,Shenzhen,Medium,Diversified,Robotics,n/a,Robotics,No,No,No,,,,,
德胜世纪（北京）国际文化传媒有限公司,"Desheng Century (Beijing) International Culture Media Co., Ltd.",DSSJBJ,德胜世纪,普通会员单位,ordinary members,338,Industry,http://www.dssjbj.com/,n/a,Beijing,Beijing,Beijing,Medium,Diversified,Consulting services,n/a,Management consulting,No,No,No,,,,,
上海华东电信研究院,Shanghai East China Telecom Research Institute,East China Branch of China Academy of Information and Communications Technology,中国信通院华东分院,普通会员单位,ordinary members,10,Government,http://www.ecit.org.cn/,n/a,Shanghai,Shanghai,Shanghai,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,"A government thinktank, jointly established by China Academy of Information and Communications Technology and Shanghai Muncipal Commission of Economy and Information Technology",,
东信北邮信息技术有限公司,"Eastcom Beiyou Information Technology Co., Ltd.",EB,东信北邮,普通会员单位,ordinary members,169,Industry,https://www.ebupt.com/,n/a,"Hangzhou, Zhejiang",Hangzhou,Zhejiang,Medium,Diversified,"Software, Information technology",n/a,Mobile intelligent network,Yes,No,No,,,,,
成都英博格科技有限公司,"Chengdu Inberg Technology Co., Ltd.",EBGbot Technology,英博格科技,理事单位,board members,136,Industry,http://www.ebgbot.com/,n/a,"Chengdu, Sichuan",Chengdu,Sichuan,Small/startup,Diversified,"Sales, Computer",n/a,Computer system services; Basic software services; Sales of electronic equipment,No,No,No,,,https://xin.baidu.com/company_detail_96820981282037?rq=ef&pd=ee&from=ps,,
北京中联润通信息技术有限公司,"Beijing Zhonglian Runtong Information Technology Co., Ltd.",Ecloud,中联润通,普通会员单位,ordinary members,7,Industry,http://www.ecloud.com.cn/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Big data,n/a,Big data,No,No,No,,,,,
北京云起时代技术有限公司,"Beijing Yunqi Times Technology Co., Ltd.",Ecloudstech,云起技术,普通会员单位,ordinary members,132,Industry,http://www.ecloudstech.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Industrial technology service,n/a,"Industrial solutions, technical services and technology outsourcing for state-owned companies",No,No,No,,,,,
北京易诚高科科技发展有限公司,"Beijing Yicheng Gaoke Technology Development Co., Ltd.",Ecor­dia,易诚高科,普通会员单位,ordinary members,37,Industry,http://www.ecredence.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Research and Development, AIoT, Software",AIoT,Full life­cy­cle ser­vice plat­form of prod­ucts in the AIoT field,No,No,No,,,,,
北京臻利知识产权服务有限公司,"Beijing Zhenli Intellectual Property Service Co., Ltd.",Ecotalents,北京臻利,普通会员单位,ordinary members,124,Industry,http://www.ecotalents.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Focused on AI,Intellectual property consulting,Business Solutions,AI-enabled intellectual property protection service ,No,No,No,,,,,
北京一览群智数据科技有限责任公司,"Beijing Overview Qunzhi Data Technology Co., Ltd.",Elens,一览群智,普通会员单位,ordinary members,271,Industry,https://www.elensdata.com/,https://www.crunchbase.com/organization/elens,Beijing,Beijing,Beijing,Small/startup,Focused on AI,Information technology,Business Solutions,Text analysis solutions,No,No,No,,,,,
爱思开（中国）企业管理有限公司,"Elsevier (China) Enterprise Management Co., Ltd.",Elsevier,爱思开,理事单位,board members,91,Industry,https://www.elsevier.com,https://www.crunchbase.com/organization/elsevier,Beijing,Beijing,Beijing,Medium,Diversified,"Content, Content Discovery, Delivery, Information Services, Information Technology, Publishing",n/a,Information solutions,No,Yes,No,,,,,
竹间智能科技（上海）有限公司,"Takema Intelligent Technology (Shanghai) Co., Ltd.",Emotibot,竹间智能,普通会员单位,ordinary members,125,Industry,http://www.emotibot.com/#/home-page,https://www.crunchbase.com/organization/emotibot-technologies-limited#section-overview,Shanghai,Shanghai,Shanghai,Small/startup,Focused on AI,"Computer, Information Technology, Machine Learning, Technical Support, Video",Service Robots,AI robots with emotional intelligence,No,No,No,,,,,
苏州明逸智库信息科技有限公司,"Suzhou Mingyi Think Tank Information Technology Co., Ltd.",EMYIW,明逸智库,理事单位,board members,65,Industry,http://www.emyiw.com/,n/a,"Suzhou, Jiangsu",Suzhou,Jiangsu,Small/startup,Diversified,Intelligent warehousing logistics,n/a,Smart logistics,No,No,No,,,,,
北京佳光科技有限公司,"Beijing Jiaguang Technology Co., Ltd.",Encradar,佳光科技,普通会员单位,ordinary members,85,Industry,https://encradar2019.51pla.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Sales of electronic products,n/a,Lidar products,No,No,No,,,,,
上海燧原科技有限公司,"Shanghai Liaoyuan Technology Co., Ltd.",Enflame,燧原科技,普通会员单位,ordinary members,173,Industry,https://www.enflame-tech.com/,https://www.crunchbase.com/organization/suiyuan-technology#section-overview,Shanghai,Shanghai,Shanghai,Small/startup,Focused on AI,"Artificial Intelligence, Machine Learning, Semiconductor, Software",AI Chips,Cloud-based deep learning chips for AI training platforms,No,No,No,,,,,
北京羿娲科技有限公司,"Beijing Ye Technology Co., Ltd.",EvaVision,羿娲科技,普通会员单位,ordinary members,284,Industry,http://www.evavisdom.com/,n/a,Beijing,Beijing,Beijing,Medium,Diversified,Technology services,n/a,Image processing,No,No,No,,,,,
恒安嘉新（北京）科技股份公司,"Hengan Jiaxin (Beijing) Technology Co., Ltd.",Eversec,恒安嘉新,普通会员单位,ordinary members,225,Industry,http://eversec.com.cn/about_eversec/,https://www.crunchbase.com/organization/eversec,Beijing,Beijing,Beijing,Small/startup,Diversified,"Artificial Intelligence, Big Data, Cyber Security, Information Technology, Internet Software, Telecommunications",n/a,Internet security,No,No,No,,,,,
北京进化者机器人科技有限公司,"Beijing Evolution Robot Technology Co., Ltd.",Evolver,小胖机器人,普通会员单位,ordinary members,246,Industry,http://www.efrobot.com/,https://www.crunchbase.com/organization/evolver-d3e1#section-overview,Beijing,Beijing,Beijing,Small/startup,Diversified,"Artificial Intelligence, Robotics",n/a,AI & Robotics,No,No,No,,,,,
易往信息技术（北京）有限公司,"Easy to Information Technology (Beijing) Co., Ltd.",Ewininfo,易往,普通会员单位,ordinary members,35,Industry,n/a,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Intelligent manufacturing,n/a,Intelligent manufacturing,No,No,No,,,"http://c.gongkong.com/InformationMain/index?cid=52647 

Appears later in the list",,
易往信息技术（北京）有限公司,"Easy to Information Technology (Beijing) Co., Ltd.",Ewininfo,易往,普通会员单位,ordinary members,200,Industry,www.ewininfo.com,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Manufacturing,n/a,Intelligent manufacturing,No,No,No,,,"http://c.gongkong.com/InformationMain/index?cid=52647 

Appears earlier in the list",,
极限元（北京）智能科技股份有限公司,"Extreme Element (Beijing) Intelligent Technology Co., Ltd.",Extreme Yuan,极限元,普通会员单位,ordinary members,196,Industry,http://www.jixianyuan.com/,https://www.crunchbase.com/organization/j%C3%ADxi%C3%A0n-yu%C3%A1n-extreme-yuan,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Robotics",Voice Recognition and Natural Language Processing,"Speech recognition, emotion recognition, human-computer interaction",No,No,No,,,,,
北京百乘科技有限公司,"Beijing Baicheng Technology Co., Ltd.",Fanghuwang,房互网/百乘金服,理事单位,board members,172,Industry,http://www.fanghuwang.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,"Real Estate, Big Data",n/a,Real estate mortgage,No,No,No,,,"https://www.wdzj.com/zhuanlan/licai/17-12772-1.html

The company is no longer in operation.",,
武汉烽火众智数字技术有限责任公司,"Wuhan Fenghuo Zhongzhi Digital Technology Co., Ltd.",Fenghuo Zhongzhi Digital Technology,烽火众智,普通会员单位,ordinary members,201,Industry,http://www.fhzz.com.cn/,n/a,"Wuhan, Hubei",Wuhan,Hubei,Small/startup,Focused on AI,Smart city application,Other,"Intelligent video survellience, smart city solutions",Yes,No,No,,,,,
烽火科技集团有限公司,"Fiberhome Technology Group Co., Ltd.",Fiberhome,烽火科技,理事单位,board members,62,Industry,http://www.fiberhome.com/en/default.aspx,https://www.crunchbase.com/organization/fiberhome,"Wuhan, Hubei",Wuhan,Hubei,Big,Diversified,"Communication Hardware, Hardware, Legal Tech, Manufacturing",n/a,Optical fiber,Yes,No,Yes,SSE,600498,,,
弗徕威智能机器人科技（上海）有限公司,"Frevi Intelligent Robotics (Shanghai) Co., Ltd.",Flyingwings,弗徕威智能机器人,理事单位,board members,104,Industry,http://www.flyingwings.cn/#/home,n/a,Shanghai,Shanghai,Shanghai,Small/startup,Focused on AI,Robotics,Service Robots,Robots,No,No,No,,,,,
广东飞企互联科技股份有限公司,"Guangdong Feiqi Internet Technology Co., Ltd.",FLYRISE,飞企互联,普通会员单位,ordinary members,136,Industry,http://www.flyrise.cn/,n/a,"Zhuhai, Guangdong",Zhuhai,Guangdong,Small/startup,Diversified,"Software, Information Technology",n/a,Industry information management solutions,No,No,No,,,,,
上海复星医药（集团）股份有限公司,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",Fosun,复星医药,理事单位,board members,117,Industry,https://www.fosunpharma.com/,https://www.crunchbase.com/organization/fosun-pharmaceutical#section-overview,Shanghai,Shanghai,Shanghai,Medium,Diversified,"Biotechnology, Health Care, Medical, Pharmaceutical",n/a,Pharmaceutical,No,No,Yes,"SSE, HK","600196, 02196",,,
安徽富驰信息技术有限公司,"Anhui Fuchi Information Technology Co., Ltd.",Future Data,富驰,普通会员单位,ordinary members,197,Industry,http://www.future-data.cn/,n/a,"Hefei, Anhui",Hefei,Anhui,Small/startup,Focused on AI,Big data,Data Storage and Processing,Judicial big data,Partially,No,No,,,,,
南京高力股权投资管理合伙企业,Nanjing Colliers Equity Investment Management Partnership,Gaoli,南京高力股权投资管理合伙企业,普通会员单位,ordinary members,98,Industry,n/a,n/a,"Nanjing, Jiangsu",Nanjing,Jiangsu,Small/startup,Diversified,Financial services,n/a,Equity investment,No,No,No,,,"https://xin.baidu.com/company_detail_96259642042652?rq=es&pd=ee&from=ps

Subsidiary of Gaoli Group 高力控股集团 (http://www.gaoligroup.com/)",,
广东凯通科技股份有限公司,"Guangdong Kaitong Technology Co., Ltd.",GDCattSoft,凯通科技,普通会员单位,ordinary members,87,Industry,http://www.gdcattsoft.com/,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Small/startup,Diversified,"Software, Information Technology",n/a,n/a,No,No,No,,,"Can't access company's website

https://xin.baidu.com/company_detail_44012665244235?rq=efn&pd=ee&from=ps",,
万国数据服务有限公司,IWC Data Services Limited,GDS,万国数据,理事单位,board members,17,Industry,http://www.gds-services.com/en/about_2.html,https://www.crunchbase.com/organization/global-data-solutions,"Suzhou, Jiangsu",Suzhou,Jiangsu,Medium,Diversified,"Information Technology, Data Center, Software",n/a,Data center and IT infrastructure services,No,No,Yes,NASDAQ,GDS,,,
北京泛化智能科技有限公司,"Beijing Panhua Intelligent Technology Co., Ltd.",GI AI,泛化智能,普通会员单位,ordinary members,23,Industry,http://www.giai.tech/,https://www.crunchbase.com/organization/gi-ai,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Robotics",Service Robots,Robotics,No,No,No,,,http://wydb.leshanvc.com/35861.html; https://m.pedaily.cn/data/company/61193 ,,
广州极天信息技术股份有限公司,"Guangzhou Jitian Information Technology Co., Ltd.",Giantan,极天信息,普通会员单位,ordinary members,306,Industry,www.giantan.com,https://www.crunchbase.com/organization/giantan,"Guangzhou, Guangdong",Guangzhou,Guangdong,Small/startup,Diversified,"Software, Information Technology",n/a,"IT software, cloud",No,No,No,,,,,
全球能源互联网研究院,Global Energy Internet Institute,Global Energy Internet Research Institute,全球能源互联网研究院,理事单位,board members,144,Other/unknown,http://www.geiri.sgcc.com.cn/,n/a,Beijing,Beijing,Beijing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,"affilated with National Development and Reform Commission, Ministry of Science and Technology, ministry of information industry http://www.zgcshzz.org.cn/memberlist_view4.html",,
北京冠博盛世网络技术有限公司,"Beijing Guanbo Shengshi Network Technology Co., Ltd.",Global Uniform,冠博,理事单位,board members,146,Industry,http://www.globalunicom.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Science and Technology Services,n/a,Application and communication services,No,No,No,,,https://webcache.googleusercontent.com/search?q=cache:o9Cotj6dEMwJ:https://www.tianyancha.com/company/22356063/jyzk+&cd=1&hl=en&ct=clnk&gl=us,,
上海高重信息科技有限公司,"Shanghai Gaozhong Information Technology Co., Ltd.",Glotech,高重科技,普通会员单位,ordinary members,151,Industry,https://www.grandhonor.net/,https://www.crunchbase.com/organization/glotech-grandhonor,Shanghai,Shanghai,Shanghai,Small/startup,Focused on AI,"Big Data, Information Technology, Internet, Security",Data Storage and Processing,Mobile internet big data security solutions,No,No,No,,,,,
深圳市美誉镜界光电科技有限公司,"Shenzhen Meiyu Jingjie Optoelectronics Technology Co., Ltd.",GodView,美誉镜界,普通会员单位,ordinary members,150,Industry,http://www.godview.cc/,n/a,Shenzhen,Shenzhen,Shenzhen,Small/startup,Diversified,"Software, Information Technology",n/a,Smart classes,No,No,No,,,,,
河南政企云计算有限公司,"Henan Government and Enterprise Cloud Computing Co., Ltd.",GovEntCloud,政企云,理事单位,board members,169,Industry,http://www.goventcloud.com/,n/a,"Hebi, Henan",Hebi,Henan,Small/startup,Diversified,Cloud computing,n/a,"Cloud computing solutions and cloud computing services to the government, enterprises and institutions",No,No,No,,,https://www.qcc.com/product/c9b656f1-c6f7-4768-931f-d9f92dde4e66.html,,
广州广电运通金融电子股份有限公司,"Guangzhou Guangdian Yuntong Financial Electronics Co., Ltd.",GRG Banking,广电运通,理事单位,board members,52,Industry,https://www.grgbanking.com/cn/,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Medium,Diversified,"Information Technology, Big Data",n/a,"ATM, cash recycler, cash depositor, cash sorter and branch transformation solutions; R&D of key AI technologies",Yes,No,Yes,SZSE,002152,,,
北京国双科技有限公司,"Beijing Guoshuang Technology Co., Ltd.",Gridsum,国双,理事单位,board members,170,Industry,http://www.gridsum.com/,https://www.crunchbase.com/organization/gridsum,Beijing,Beijing,Beijing,Medium,Diversified,"Advertising, Analytics, Big Data, Business Intelligence, Digital Media, Information Technology, Internet, SEM, Software, Video",n/a,Data analysis software,No,No,Yes,NASDAQ,GSUM,,,
上海观安信息技术股份有限公司,"Shanghai Guanan Information Technology Co., Ltd.",Guanan,观安,普通会员单位,ordinary members,316,Industry,https://www.idss-cn.com/,n/a,Shanghai,Shanghai,Shanghai,Small/startup,Diversified,Science and technology services,n/a,"software and hardware, electronics, communication technology in the field of technical services,",No,No,No,,,,,
广州广电研究院有限公司,"Guangzhou Radio and Television Research Institute Co., Ltd.",Guangzhou Broadcasting Research Institute Co. Ltd,广州广电研究院有限公司,理事单位,board members,149,Industry,n/a,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Small/startup,Diversified,Research and Development,n/a,"Communication, hardward and software technology",Yes,No,No,,,A wholly susidiary of Guangzhou Radio Group which is 100% funded by the Guangzhou Muncipal Government,https://www.qcc.com/firm/2c9b7aa7049c3f19ac4c8f86a06d1790.html,
广州市思库信息科技有限公司,"Guangzhou Siku Information Technology Co., Ltd.",Guangzhou Scholar Information Technology,广州思库,理事单位,board members,145,Industry,http://siku-keji.com/,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Small/startup,Diversified,Consulting,n/a,"Cloud service platforms, cerficiation consulting",No,No,No,,,https://xin.baidu.com/company_detail_83341158508717?rq=ef&pd=ee&from=ps,,
西安深信科创信息技术有限公司,"Xi'an Shenxin Kechuang Information Technology Co., Ltd.",Guard Strike,深信科创,普通会员单位,ordinary members,350,Industry,https://www.guardstrike.com/,n/a,"Xi'an, Shaanxi",Xi'an,Shaanxi,Medium,Focused on AI,"Blockchain, Security",Other,AI-enabled security services including anti-fake face fraud and anti-depth forgery,No,No,No,,,Founders are graduates from UPenn and MIT; https://www.chinasdg.org/article/guardstrike-secures-angel-round-led-by-duyan-capital ,,
新华三技术有限公司,"Xinhuasan Technology Co., Ltd.",H3C,新华三,理事单位,board members,28,Industry,http://www.h3c.com/cn/about_H3C/Company_Information/Company_Introduce/,https://www.crunchbase.com/organization/h3c-technologies,"Hangzhou, Zhejiang",Hangzhou,Zhejiang,Big,Diversified,"Electronics, Information Technology, Software, Manufacturing",n/a,"Digital Solutions, IT infrastructure",No,No,No,,,,,
青岛海尔科技有限公司,"Qingdao Haier Technology Co., Ltd.",Haier,海尔,副理事长单位,vice chairs of the board,11,Industry,https://www.haierappliances.com/,https://www.crunchbase.com/organization/haier,"Qingdao, Shandong",Qingdao,Shandong,Big,Diversified,"Consumer, Electronics, Electrical Distribution, Electronics, Home Decor",n/a,"Home appliances, consumer electronics",No,No,Yes,SSE,1169,Also listed on SSE: 600690 and FWB: HC7B,,
南京海帆数据科技有限公司,"Nanjing Haifan Data Technology Co., Ltd.",Haifan Data,海帆数据,普通会员单位,ordinary members,160,Industry,http://www.haifandata.cn/,n/a,"Nanjing, Jiangsu",Nanjing,Jiangsu,Small/startup,Focused on AI,AI solutions,Facial recognition,Face recognition interactive products,No,No,No,,,,,
江苏徐工信息技术股份有限公司,"Jiangsu Xugong Information Technology Co., Ltd.",Hanyun,汉云,理事单位,board members,26,Industry,http://www.hanyunplat.com/,n/a,"Xuzhou, Jiangsu",Xuzhou,Jiangsu,Medium,Diversified,Industrial IoT,n/a,Industrial IoT,No,No,No,,,,,
哈尔滨工业大学,Harbin Institute of Technology,Harbin Institute of Technology,哈工大,副理事长单位,vice chairs of the board,27,Academia,http://en.hit.edu.cn/,https://www.crunchbase.com/organization/harbin-institute-of-technology,"Harbin, Heilongjiang",Harbin,Heilongjiang,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
北京酷克数据科技有限公司,"Beijing Cool Data Technology Co., Ltd.",HashData,酷克数据,普通会员单位,ordinary members,210,Industry,http://www.hashdata.cn/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Cloud data storage,n/a,Cloud data storage,No,No,No,,,,,
灏谷（北京）科技产业发展有限公司,"Kariya (Beijing) Technology Industry Development Co., Ltd.",Hawku,灏谷科技,普通会员单位,ordinary members,168,Industry,http://www.hawku.cn/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Science and Technology services,n/a,Science and technology innovation industry positioning,No,No,No,,,,,
北京心世纪医疗科技有限公司,"Beijing Heart Century Medical Technology Co., Ltd.",Heart Century,心世纪,普通会员单位,ordinary members,129,Industry,http://www.heartcentury.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Medical, AI",Business Solutions,Cardiovascular imaging intelligent analysis platform,No,No,No,,,https://webcache.googleusercontent.com/search?q=cache:C54q0JLp_E8J:https://www.tianyancha.com/company/3069376162+&cd=1&hl=en&ct=clnk&gl=us,,
亮风台（上海）信息科技有限公司,"Liangfengtai (Shanghai) Information Technology Co., Ltd.",HiScene,亮风台,理事单位,board members,157,Industry,https://www.hiscene.com/,https://www.crunchbase.com/organization/hiscene,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Augmented Reality, Software",Other,AR products,No,No,No,,,https://www.chinamoneynetwork.com/2019/08/28/hiscene-nets-34m-to-deploy-ar-in-smart-manufacturing-public-security,,
黑龙江亿林网络股份有限公司,"Heilongjiang Yilin Network Co., Ltd.",HLJ E-LINK Network,亿林网络,理事单位,board members,35,Industry,http://www.hljdata.net/,n/a,"Harbin, Heilongjiang",Harbin,Heilongjiang,Small/startup,Diversified,Internet service,n/a,Internet Access Provider,No,No,No,,,,,
深圳市宏电技术股份有限公司,"Shenzhen Hongdian Technology Co., Ltd.",Hongdian Corporation,宏电公司,普通会员单位,ordinary members,184,Industry,http://en.hongdian.com/,https://www.crunchbase.com/organization/hongdian-corporation,Shenzhen,Shenzhen,Shenzhen,Medium,Diversified,Manufacturing,n/a,Machine-to-machine (M2M) and IoT connectivity products and services,No,No,No,,,,,
红豆集团有限公司,"Hongdou Group Co., Ltd.",Hongdou Industrial,红豆集团,理事单位,board members,61,Industry,http://www.hongdou.com/#/index,https://www.crunchbase.com/organization/hongdou-industrial,"Wuxi, Jiangsu",Wuxi,Jiangsu,Medium,Diversified,"Fashion, Manufacturing, Product Design",n/a,Apparel,No,No,Yes,SSE,600400,,,
广东鸿力科技有限公司,"Guangdong Hongli Technology Co., Ltd.",Hongli Technology,鸿力科技,普通会员单位,ordinary members,178,Industry,http://www.sibalu.cn/,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Small/startup,Diversified,"Research and Experimental Development, Natural sciences",n/a,Raw materials,No,No,No,,,,,
上海厚普科技发展有限公司,"Shanghai Houp Technology Development Co., Ltd.",Hopetek,厚普科技,普通会员单位,ordinary members,30,Industry,http://www.shhopetek.cn/,n/a,Shanghai,Shanghai,Shanghai,Small/startup,Diversified,Automation,n/a,Automatic control systems,No,No,No,,,,,
北京地平线机器人技术研发有限公司,"Beijing Horizon Robot Technology R & D Co., Ltd.",Horizon,地平线,理事单位,board members,107,Industry,https://www.horizon.ai/,https://www.crunchbase.com/organization/horizon-robotics#section-overview,Beijing,Beijing,Beijing,Medium,Focused on AI,"Artificial Intelligence, Autonomous Vehicles, Machine Learning, Robotics",AI Chips,Artificial intelligence chips for robots,No,No,No,,,,,
华大半导体有限公司,"Huada Semiconductor Co., Ltd.",Huada Semiconductor,华大半导体,普通会员单位,ordinary members,64,Industry,https://www.hdsc.com.cn/,https://www.crunchbase.com/organization/huada-semiconductor,Shanghai,Shanghai,Shanghai,Medium,Diversified,Semiconductor,n/a,Semiconductor products,Yes,No,No,,,,,
丹东华通测控有限公司,"Dandong Huatong Measurement & Control Co., Ltd.",Huatong,华通,普通会员单位,ordinary members,320,Industry,http://www.htong.com/,n/a,"Dandong, Liaoning",Dandong,Liaoning,Medium,Diversified,Manufacturing,n/a,"Electricity, energy",No,No,No,,,,,
华为技术有限公司,"Huawei Technologies Co., Ltd",Huawei,华为,副理事长单位,vice chairs of the board,25,Industry,https://www.huawei.com/us/about-huawei,https://www.crunchbase.com/organization/huawei,Shenzhen,Shenzhen,Shenzhen,Big,Diversified,"Information and Communications Technology (ICT), Mobile, Security, Software, Telecommunications, Web Hosting, Wireless",n/a,Information and communications technology,No,No,No,,,,,
珠海市华兴软件信息服务有限公司,"Zhuhai Huaxing Software Information Service Co., Ltd.",Huaxing,华兴软件,普通会员单位,ordinary members,337,Industry,n/a,n/a,"Zhuhai, Guangdong",Zhuhai,Guangdong,Small/startup,Diversified,Internet services,n/a,Enterprise Software,No,No,No,,,,,
苏州慧谷知识产权服务有限公司,"Suzhou Huigu Intellectual Property Service Co., Ltd.",Huigu Intellectual Property Service,慧谷公司,理事单位,board members,94,Industry,http://www.hugoip.com/,n/a,"Suzhou, Jiangsu",Suzhou,Jiangsu,Small/startup,Diversified,Intellectual property,n/a,Intellectual property,Yes,No,No,,,,,
北京中科汇联科技股份有限公司,"Beijing Zhongke Huilian Technology Co., Ltd.",Huilan ,中科汇联,理事单位,board members,79,Industry,http://www.huilan.com/zkhl/,n/a,Beijing,Beijing,Beijing,Medium,Focused on AI,"Information Technology, Software",Business Solutions,"intelligent customer service platform including ""internet+government service"" platform",No,No,No,,,Appears later in the list as a 普通会员单位 (ordinary member),,
北京中科汇联科技股份有限公司,"Beijing Zhongke Huilian Technology Co., Ltd.",Huilian,中科汇联,普通会员单位,ordinary members,212,Industry,http://www.huilan.com/zkhl/,n/a,Beijing,Beijing,Beijing,Medium,Focused on AI,"Software, Information and technology",Business Solutions,"intelligent customer service platform including ""internet+government service"" platform",No,No,No,,,Appears earlier in the list as a 理事单位 (board member),,
湖州中植永兴达投资管理有限公司,"Huzhou Zhongzhi Yongxingda Investment Management Co., Ltd.",Huzhou Zhongzhi Yongxingda Investment Management,中植永,理事单位,board members,123,Industry,n/a,n/a,"Huzhou, Zhejiang",Huzhou,Zhejiang,Small/startup,Diversified,Asset Management,n/a,Investment,No,No,No,,,https://xin.baidu.com/company_detail_25727346512168?rq=ef&pd=ee&from=ps,,
天津大海云科技有限公司,"Tianjin Dahaiyun Technology Co., Ltd.",Hydata,海云数据,理事单位,board members,64,Industry,http://www.hiynn.com/,https://www.crunchbase.com/organization/hydata,Tianjin,Tianjin,Tianjin,Small/startup,Focused on AI,"Analytics, Artificial Intelligence, Data Integration, Enterprise",Data Storage and Processing,Data visualization,No,No,No,,,,,
中科弘云科技（北京）有限公司,"Zhongke Hongyun Technology (Beijing) Co., Ltd.",HyperAI Cloud,中科弘云,普通会员单位,ordinary members,155,Industry,https://hyperai.net/,https://www.crunchbase.com/organization/hyperai-cloud,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Cloud Computing",Data Storage and Processing,"Data processing, Data services, AI cloud computing R&D",No,No,No,,,https://www.sohu.com/a/406137664_403354,,
上海艺赛旗软件股份有限公司,"Shanghai Yisaiqi Software Co., Ltd.",i-Search,艺赛旗,普通会员单位,ordinary members,250,Industry,https://www.i-search.com.cn/,n/a,Shanghai,Shanghai,Shanghai,Small/startup,Focused on AI,"Robotics, Automation",Service Robots,"Robotic Process Automation, User and Entity Behavior Analytics ",No,No,No,,,,,
国际商业机器（中国）有限公司,"International Business Machines (China) Co., Ltd.",IBM,n/a,理事单位,board members,66,Industry,https://www.ibm.com/cn-zh,https://www.crunchbase.com/organization/ibm,Shanghai,Shanghai,Shanghai,Big,Diversified,"Business Development, Business, Information Systems, CRM Software",n/a,"Computer hardware, software, and infrastructure and hosting services",No,Yes,Yes,NYSE,IBM,,,
成都数之联科技有限公司,"Chengdu Shuzhilian Technology Co., Ltd.",iCloudUnion,数之联,普通会员单位,ordinary members,193,Industry,http://www.unionbigdata.com/,https://www.crunchbase.com/organization/icloudunion#section-overview,"Chengdu, Sichuan",Chengdu,Sichuan,Small/startup,Diversified,Enterprise,n/a,Big data ,No,No,No,,,,,
艾迪普（北京）文化科技股份有限公司,"Aidip (Beijing) Culture Technology Co., Ltd.",Ideapool,艾迪普,普通会员单位,ordinary members,328,Industry,http://www.ideapool.tv/,n/a,Beijing,Beijing,Beijing,Medium,Diversified,"Digital media, entertainment",n/a,Digitial media,No,No,No,,,,,
深思考人工智能机器人科技（北京）有限公司,"Deep Thinking Artificial Intelligence Robot Technology (Beijing) Co., Ltd.",iDeepWise,深思考人工智能,普通会员单位,ordinary members,280,Industry,http://www.ideepwise.ai/,https://www.crunchbase.com/organization/ideepwise,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Machine learning",General Purpose,"Brain-based artificial intelligence and deep learning core technology in smart electronics, medical health, marketing and other sectors",No,No,No,,,,,
